artist,song,date_certified,label,award
THE CHAINSMOKERS & TRITONAL,UNTIL YOU WERE GONE (FEAT. EMILY WARREN),"September 17, 2018",COLUMBIA,0
THE CHAINSMOKERS,ROSES,"September 17, 2018",COLUMBIA,4
THE CHAINSMOKERS,SETTING FIRES,"September 17, 2018",COLUMBIA,0
KHALID & NORMANI,LOVE LIES,"September 17, 2018",RCA,2
THE CHAINSMOKERS,SICK BOY,"September 17, 2018",COLUMBIA,0
THE CHAINSMOKERS & COLDPLAY,SOMETHING JUST LIKE THIS,"September 17, 2018",COLUMBIA,5
THE CHAINSMOKERS,THE ONE,"September 17, 2018",COLUMBIA,0
THE CHAINSMOKERS,DON'T LET ME DOWN,"September 17, 2018",COLUMBIA,6
THE CHAINSMOKERS,CLOSER,"September 17, 2018",COLUMBIA,10
ANUEL AA,QUIERE BEBER,"September 14, 2018",REAL HASTA LA MUERTE / GLAD EMPIRE,1
"NIO GARCIA, CASPER MAGICO & DARELL",QUIERE FUMAR,"September 14, 2018","FLOW LA MOVIE, INC / GLAD EMPIRE LLC",0
ANUEL AA,YEEZY (FEAT. NENGO FLOW),"September 14, 2018",REAL HASTA LA MUERTE / GLAD EMPIRE,0
MIKY WOODZ,ANTES DE MORIRME,"September 14, 2018",GOLD2 LATIN MUSIC / GLAD EMPIRE,0
ANUEL AA,BRINDEMOS (FEAT. OZUNA),"September 14, 2018",REAL HASTA LA MUERTE / GLAD EMPIRE,2
MIKY WOODZ & BAD BUNNY,ESTAMOS CLEAR,"September 14, 2018",GOLD2 LATIN MUSIC,1
ANUEL AA,HIPOCRITA (FEAT. ZION),"September 14, 2018",REAL HASTA LA MUERTE / GLAD EMPIRE,1
ANUEL AA,NA' NUEVO,"September 14, 2018",REAL HASTA LA MUERTE / GLAD EMPIRE,0
MAROON 5,IF I NEVER SEE YOUR FACE AGAIN,"September 13, 2018",222 RECORDS / INTERSCOPE,1
MAROON 5,WAKE UP CALL,"September 13, 2018",A&M/OCTONE,2
JON PARDI,HEARTACHE ON THE DANCEFLOOR,"September 13, 2018",CAPITOL RECORDS NASHVILLE,1
MAROON 5,ONE MORE NIGHT,"September 13, 2018",222 RECORDS / INTERSCOPE,6
PRINCE CHRISHAN,SIN CITY,"September 13, 2018",RIGHT NOW SOUND,0
JON PARDI,HEAD OVER BOOTS,"September 13, 2018",CAPITOL NASHVILLE,2
MAROON 5,SHE WILL BE LOVED,"September 13, 2018",A&M/OCTONE,4
MAROON 5,MISERY,"September 13, 2018",A&M/OCTONE,2
MAROON 5,LUCKY STRIKE,"September 13, 2018",222 RECORDS / INTERSCOPE,0
MAROON 5,HARDER TO BREATHE,"September 13, 2018",A&M/OCTONE,1
MAROON 5,MOVES LIKE JAGGER,"September 13, 2018",A&M/OCTONE,9
MAROON 5,LOVE SOMEBODY,"September 13, 2018",222 RECORDS / INTERSCOPE,2
MAROON 5,NEVER GONNA LEAVE THIS BED,"September 13, 2018",A&M/OCTONE,1
MAROON 5,WON'T GO HOME WITHOUT YOU,"September 13, 2018",A&M/OCTONE,2
MAROON 5,PAYPHONE,"September 13, 2018",222 RECORDS / INTERSCOPE,7
JON PARDI,DIRT ON MY BOOTS,"September 13, 2018",CAPITOL RECORDS NASHVILLE,2
MAROON 5,MAKES ME WONDER,"September 13, 2018",A&M/OCTONE,3
MAROON 5,DAYLIGHT,"September 13, 2018",222 RECORDS / INTERSCOPE,2
DJ SNAKE & LIL JON,TURN DOWN FOR WHAT?,"September 13, 2018",COLUMBIA,6
PLAY-N-SKILLZ,CUIDAO (FEAT. YANDEL & MESSIAH),"September 12, 2018",SONY LATIN,0
ED SHEERAN,HOW WOULD YOU FEEL (PAEAN),"September 11, 2018",ATLANTIC RECORDS,0
ED SHEERAN,WHAT DO I KNOW,"September 11, 2018",ATLANTIC RECORDS,0
ED SHEERAN,SHAPE OF YOU,"September 11, 2018",ATLANTIC RECORDS,9
"PITBULL, EL CHOMBO, KAROL G",DAME TU COSITA (FEAT. CUTTY RANKS),"September 11, 2018",ULTRA RECORDS,0
FLO RIDA,WHISTLE,"September 11, 2018",ATLANTIC RECORDS,5
BILLIE EILISH,OCEAN EYES,"September 11, 2018",DARKROOM / INTERSCOPE RECORDS,1
ANDERSON .PAAK,COME DOWN,"September 11, 2018",STEEL WOOL / OBE / ART CLUB / EMPIRE,0
FLO RIDA,WILD ONES,"September 11, 2018",ATLANTIC RECORDS,5
ED SHEERAN,NEW MAN,"September 11, 2018",ATLANTIC RECORDS,0
THE REVIVALISTS,WISH I KNEW YOU,"September 11, 2018",RAZOR & TIE,1
FLO RIDA,MY HOUSE,"September 11, 2018",ATLANTIC RECORDS,6
ED SHEERAN,SUPERMARKET FLOWERS,"September 11, 2018",ATLANTIC RECORDS,0
ED SHEERAN,DIVE,"September 11, 2018",ATLANTIC RECORDS,1
ED SHEERAN,PERFECT,"September 11, 2018",ATLANTIC RECORDS,7
FLO RIDA,ELEVATOR,"September 11, 2018",ATLANTIC,1
FLO RIDA,GOOD FEELING,"September 11, 2018",ATLANTIC,5
ED SHEERAN,CASTLE ON THE HILL,"September 11, 2018",ATLANTIC RECORDS,3
ED SHEERAN,GALWAY GIRL,"September 11, 2018",ATLANTIC RECORDS,1
DYLAN SCOTT,HOOKED,"September 10, 2018",CURB RECORDS,0
RED,ALREADY OVER,"September 10, 2018",ESSENTIAL RECORDS,0
A$AP ROCKY,PRAISE THE LORD,"September 10, 2018",RCA,0
MARTIN GARRIX,OCEAN (FEAT. KHALID),"September 10, 2018",RCA,0
RUSSELL DICKERSON,BLUE TACOMA,"September 7, 2018",TRIPLE TIGERS,0
OZUNA,SIGUELO BAILANDO,"September 6, 2018",VP RECORDS,13
KIIARA,GOLD,"September 6, 2018",ATLANTIC RECORDS,3
OZUNA,UNA FLOR,"September 6, 2018",VP RECORDS,4
"STEVE AOKI, DADDY YANKEE, PLAY-N-SKILLZ & ELVIS CRESPO",AZUKITA,"September 6, 2018",ULTRA RECORDS,1
OZUNA,EGOISTA,"September 6, 2018",VP RECORDS,4
CHARLIE PUTH,DONE FOR ME (FEAT. KEHLANI),"September 5, 2018",ATLANTIC RECORDS,0
LELE PONS,CELOSO,"September 5, 2018",10:22 PM,0
KEHLANI,THE WAY (FEAT. CHANCE THE RAPPER),"September 5, 2018",ATLANTIC RECORDS,1
OZUNA,SE PREPARO,"September 4, 2018",VP RECORDS,21
OZUNA,DILE QUE TU ME QUIERES,"August 31, 2018",VP RECORDS,12
KENNY CHESNEY,GET ALONG,"August 31, 2018",BLUE CHAIR RECORDS / WARNER BROS NASHVILLE,0
SELENA GOMEZ,BACK TO YOU,"August 31, 2018",INTERSCOPE,1
THE GREATEST SHOWMAN ENSEMBLE,COME ALIVE,"August 31, 2018",ATLANTIC RECORDS,0
CHRIS JANSON,BUY ME A BOAT,"August 31, 2018",WARNER BROS,2
DAN + SHAY,NOTHIN' LIKE YOU,"August 31, 2018",WARNER BROS,1
TYGA,TASTE,"August 31, 2018",LAST KINGS MUSIC / EMPIRE,2
CAMILA CABELLO,HAVANA (FEAT. YOUNG THUG),"August 30, 2018",EPIC,6
"21 SAVAGE, OFFSET & METRO BOOMIN",GHOSTFACE KILLERS (FEAT. TRAVIS SCOTT),"August 30, 2018",EPIC,1
FUTURE,THOUGHT IT WAS A DROUGHT,"August 30, 2018",EPIC,1
EL ALFA,SUAVE,"August 29, 2018",EL JEFE RECORD MUSIC,0
OZUNA,TU FOTO,"August 29, 2018",VP RECORDS,11
RVSSIAN,PRIVADO,"August 29, 2018",HEAD CONCUSSION RECORDS,3
"NENGO FLOW, SINFONICO, DARELL, ELE A EL DOMINIO, & JON Z",REAL G'S,"August 28, 2018",INNERCAT-360 RECORDS,0
"KELMITT, LARY OVER, & FARRUKO",RECUERDOS,"August 28, 2018",CARBON FIBER MUSIC,0
YG,BIG BANK,"August 28, 2018",DEF JAM,1
"EL ALFA, DE LA GHETTO, FARRUKO, VILLANO SAM, NORIEL, ZION, & BRYANT MEYERS",BANDA DE CAMION (REMIX),"August 28, 2018",EL JEFE RECORD MUSIC,0
CAM,BURNING HOUSE,"August 28, 2018",ARISTA NASHVILLE,2
DJ KHALED,"NO BRAINER (FEAT. JUSTIN BIEBER, CHANCE THE RAPPER, & QUAVO)","August 27, 2018",EPIC,0
MICHAEL JACKSON,HOLD MY HAND,"August 23, 2018",EPIC,0
RUSS,LOSIN CONTROL,"August 23, 2018",COLUMBIA / RUSS MY WAY INC.,3
DJ SNAKE,LET ME LOVE YOU (FEAT. JUSTIN BIEBER),"August 23, 2018",INTERSCOPE,4
TAUREN WELLS,HILLS AND VALLEYS,"August 23, 2018",REUNION RECORDS,0
OLD DOMINION,SONG FOR ANOTHER TIME,"August 22, 2018",RCA NASHVILLE,1
LUKE COMBS,HURRICANE,"August 22, 2018",COLUMBIA NASHVILLE / RIVER HOUSE ARTISTS,3
LUKE COMBS,WHEN IT RAINS IT POURS,"August 22, 2018",COLUMBIA NASHVILLE / RIVER HOUSE ARTISTS,2
OLD DOMINION,WRITTEN IN THE SAND,"August 22, 2018",RCA NASHVILLE,1
OLD DOMINION,NO SUCH THING AS A BROKEN HEART,"August 22, 2018",RCA NASHVILLE,1
LUKE COMBS,ONE NUMBER AWAY,"August 22, 2018",COLUMBIA NASHVILLE / RIVER HOUSE ARTISTS,1
LUKE COMBS,BEAUTIFUL CRAZY,"August 22, 2018",COLUMBIA NASHVILLE / RIVER HOUSE ARTISTS,0
DANIEL CAESAR,GET YOU (FEAT. KALI UCHIS),"August 21, 2018",GOLDEN CHILD RECORDINGS,1
CARRIE UNDERWOOD,THE CHAMPION,"August 21, 2018",CAPITOL RECORDS NASHVILLE,0
REIK,"ME NIEGO (FEAT. OZUNA, WISIN)","August 21, 2018",SONY LATIN,10
FLO RIDA,GDFR (FEAT. SAGE THE GEMINI & LOOKAS),"August 21, 2018",ATLANTIC RECORDS,4
LOGIC,1-800-273-8255,"August 20, 2018",DEF JAM,5
ONEREPUBLIC,COUNTING STARS,"August 20, 2018",MOSLEY MUSIC / INTERSCOPE RECORDS,10
BIG SEAN,BLESSINGS,"August 20, 2018",DEF JAM,3
2 CHAINZ,PROUD,"August 20, 2018",DEF JAM,0
G-EAZY,HIM & I (FEAT. HALSEY),"August 17, 2018",RCA RECORDS,2
KODAK BLACK,ROLL IN PEACE (FEAT. XXXTENTACION),"August 17, 2018",ATLANTIC RECORDS,2
"PNB ROCK, KODAK BLACK & A BOOGIE WIT DA HOODIE",HORSES,"August 17, 2018",ATLANTIC RECORDS,1
NAV,WANTED YOU (FEAT. LIL UZI VERT),"August 17, 2018",REPUBLIC RECORDS / XO RECORDS,1
KODAK BLACK,CODEINE DREAMING (FEAT. LIL WAYNE),"August 17, 2018",ATLANTIC RECORDS,1
DILLON FRANCIS,COMING OVER,"August 17, 2018",COLUMBIA,0
KANYE WEST,BLOOD ON THE LEAVES,"August 15, 2018",DEF JAM,1
FOSTER THE PEOPLE,SIT NEXT TO ME,"August 15, 2018",COLUMBIA,1
MURA MASA,LOVE$ICK (FEAT. A$AP ROCKY),"August 15, 2018",ANCHOR POINT / GEFFEN RECORDS,0
KANYE WEST,NO MORE PARTIES IN LA,"August 15, 2018",DEF JAM,0
"CALVIN HARRIS, DUA LIPA",ONE KISS,"August 15, 2018",COLUMBIA,1
6IX9INE,FEFE,"August 15, 2018",TENTHOUSAND PROJECTS,1
6IX9INE,FEFE,"August 15, 2018",TENTHOUSAND PROJECTS,1
"TORY LANEZ, OZUNA",PA MI,"August 15, 2018",MAD LOVE/INTERSCOPE,0
COSCULLUELA,SOLO A SOLAS (FEAT. MALUMA),"August 14, 2018",WARNER MUSIC LATINA,1
COSCULLUELA,MADURA (FEAT. BAD BUNNY),"August 14, 2018",WARNER MUSIC LATINA,1
KHALID,LOCATION,"August 14, 2018",RIGHT HAND MUSIC/RCA,5
COSCULLUELA,A DONDE VOY (FEAT. DADDY YANKEE),"August 14, 2018",WARNER MUSIC LATINA,1
COLE SWINDELL,FLATLINER,"August 14, 2018",WARNER BROS,0
KHALID,YOUNG DUMB & BROKE,"August 14, 2018",RIGHT HAND MUSIC/RCA,4
COSCULLUELA,MANICOMIO,"August 14, 2018",WARNER MUSIC LATINA,2
MIKE STUD,THESE DAYS,"August 10, 2018",ELECTRIC FEEL MUSIC / 300 ENTERTAINMENT,0
DAVID LEE MURPHY & KENNY CHESNEY,EVERYTHING'S GONNA BE ALRIGHT,"August 10, 2018",REVIVER RECORDS,0
BIG SEAN,BOUNCE BACK,"August 10, 2018",DEF JAM,4
YOUNGBOY NEVER BROKE AGAIN,THROUGH THE STORM,"August 10, 2018",APG/ATLANTIC RECORDS,0
2 CHAINZ,BLUE CHEESE,"August 10, 2018",DEF JAM,0
