genres,followers,artists
"['edm', 'electropop', 'pop', 'tropical house']",9005468,The Chainsmokers
"['reggaeton flow', 'trap latino']",2974473,Anuel Aa
"['reggaeton flow', 'trap latino']",211563,Miky Woodz
"['latin hip hop', 'reggaeton flow']",157419,Benny Benni
['pop'],13365886,Maroon 5
"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",6523594,Usher
"['hip hop', 'pop rap', 'rap']",6702348,Lil Wayne
"['contemporary country', 'country', 'country road', 'modern country rock']",568140,Jon Pardi
['chicano rap'],10871,Play-N-Skillz
['deep underground hip hop'],68733,CES Cru
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",852333,Ace Hood
['pop'],33552033,Ed Sheeran
"['boy band', 'dance pop', 'pop', 'post-teen pop']",3565832,5 Seconds of Summer
"['dance pop', 'edm', 'pop', 'pop rap']",6388704,Flo Rida
"['dance pop', 'pop']",7040668,Lana Del Rey
"['hip hop', 'indie r&b', 'neo soul', 'underground hip hop']",104426,NxWorries
"['escape room', 'hip hop', 'indie r&b', 'la indie', 'rap']",739688,Anderson .Paak
"['modern alternative rock', 'modern rock']",155190,The Revivalists
"['contemporary country', 'country road', 'modern country rock']",310778,Dylan Scott
[],5,Pan Galactic
"['alternative rock', 'funk metal', 'permanent wave', 'post-grunge', 'rock']",8552023,Red Hot Chili Peppers
[],0,Producer H-Dub
"['east coast hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music']",4468537,A$AP Rocky
"['dance pop', 'edm', 'pop']",16128611,David Guetta
"['emo', 'modern rock', 'pop punk', 'vegas indie']",5017866,Panic! At The Disco
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1190618,Rich The Kid
"['reggaeton', 'trap latino']",11381268,Ozuna
"['dance pop', 'pop', 'post-teen pop', 'viral pop']",5515357,Charlie Puth
"['dance pop', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'rap']",1803361,Kehlani
"['contemporary country', 'country', 'country road', 'modern country rock']",942723,Cole Swindell
"['contemporary country', 'country', 'country road']",2116432,Kenny Chesney
"['alternative dance', 'indie pop', 'indietronica', 'metropopolis', 'modern rock', 'shimmer pop']",554760,The Naked And Famous
"['dance pop', 'pop', 'post-teen pop', 'viral pop']",3023977,Selena Gomez & The Scene
"['contemporary country', 'country road']",598859,Luke Combs
"['dance pop', 'pop', 'post-teen pop']",11678668,Selena Gomez
"['detroit hip hop', 'g funk', 'hip hop', 'rap']",20753080,Eminem
"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",2933330,Logic
"['contemporary country', 'country road', 'lift kit', 'modern country rock', 'redneck']",110783,Chris Janson
"['contemporary country', 'country road']",562907,Dan + Shay
"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",2067344,Eagles
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",3809332,Tyga
"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",7201001,Chris Brown
"['dance pop', 'pop', 'post-teen pop']",6501574,Camila Cabello
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",7237259,Future
"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",27420909,Drake
"['contemporary country', 'country', 'country road']",3790899,Blake Shelton
"['dembow', 'latin', 'rap dominicano', 'reggaeton flow', 'tropical']",278873,El Alfa
"['banda', 'cumbia', 'duranguense', 'grupera', 'norteno', 'regional mexican']",289423,Los Acosta
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1356969,YG
"['contemporary country', 'country']",71120,Cam
"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",3019048,DJ Khaled
