track,track_id,artist,album,release_date,total_tracks
Roses,3vv9phIu6Y1vX3jcqaGz5Z,The Chainsmokers,Roses,2015-06-16,1
Setting Fires,2PC9Tl8SWVO2yhDDtJcrAi,The Chainsmokers,Collage EP,2016-11-04,5
Sick Boy,2SxsI73qXm0rJ89Kp5JnpT,The Chainsmokers,Sick Boy...This Feeling,2018-09-18,7
Something Just Like This,1dNIEtp7AY3oDAKCGg2XkH,The Chainsmokers,Something Just Like This,2017-02-22,1
The One,0wfbD5rAksdXUzRvMfM3x5,The Chainsmokers,Memories...Do Not Open,2017-04-07,12
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,2016-07-29,1
Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel Aa,Real Hasta la Muerte,2018-07-17,12
Antes de Morirme,0zhkLYpmMZyjtv03haC77Y,Miky Woodz,Before Famous,2017-07-21,10
Na' Nuevo,02LKuab9xcpE1dGc5Gd8iM,Anuel Aa,Real Hasta la Muerte,2018-07-17,12
If I Never See Your Face Again,4xSjIgsYgd36OAK4QZ55Pr,Maroon 5,It Won't Be Soon Before Long.,2007-01-01,12
Wake Up Call,1zqllQUMCgMaInr0CzFVll,Maroon 5,It Won't Be Soon Before Long.,2007-01-01,12
One More Night,4XNrMwGx1SqP01sqkGTDmo,Maroon 5,Overexposed (Deluxe),2012-01-01,15
Head Over Boots,4ly1QBXEwYoDmje9rmEgC4,Jon Pardi,California Sunrise,2016-05-13,12
She Will Be Loved - Radio Mix,4llK75pXNWZz6KAho2Gp16,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002,29
Misery,6KBYk8OFtod7brGuZ3Y67q,Maroon 5,Hands All Over (Deluxe),2010,18
Lucky Strike,6tVrmsbI5HVDgOlFSTrQjB,Maroon 5,Overexposed,2012-01-01,12
Harder To Breathe,4V9JDRqKjN8F2HWdlEDxvI,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002,29
Moves Like Jagger - Studio Recording From The Voice Performance,7LcfRTgAVTs5pQGEQgUEzN,Maroon 5,Hands All Over,2010,13
Love Somebody,0HnaqUxvHP5LaWdmWwJpiS,Maroon 5,Overexposed (Deluxe),2012-01-01,15
Never Gonna Leave This Bed,4ucLHLiSjvkCz5Lr5dlVUj,Maroon 5,Hands All Over (Deluxe),2010,18
Payphone,1LmN9SSHISbtp9LoaR5ZVJ,Maroon 5,Overexposed,2012-01-01,12
Makes Me Wonder,1lHXlGlve5Zx8tXLhyjDwM,Maroon 5,It Won't Be Soon Before Long.,2007-01-01,12
Daylight,6TwfdLbaxTKzQi3AgsZNzx,Maroon 5,Overexposed (Deluxe),2012-01-01,15
Turn Down for What,6OM1Nm9IZMWjJ0ACrBFICu,DJ L Club,Turn Down for What: Tribute to DJ Snake & Lil Jon,2014-04-01,3
How Would You Feel (Paean),6PJ8FF6UR8FZXfEvpHkIVN,Ed Sheeran,÷ (Deluxe),2017-03-03,16
What Do I Know?,2pJZ1v8HezrAoZ0Fhzby92,Ed Sheeran,÷ (Deluxe),2017-03-03,16
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,÷ (Deluxe),2017-03-03,16
Dame Tu Cosita (feat. Cutty Ranks) - Radio Version,5BVMLKioofuSf51g1DKDP9,Pitbull,Dame Tu Cosita (feat. Cutty Ranks) [Radio Version],2018-08-29,1
Whistle,3bC1ahPIYt1btJzSSEyyrF,Flo Rida,Wild Ones,2012-06-22,10
ocean eyes,7hDVYcQq6MxkdJGweuCtl9,Billie Eilish,dont smile at me,2017-12-22,9
Come Down,276zciJ7Fg7Jk6Ta6QuLkp,Anderson .Paak,Malibu,2016-01-15,16
