,0
0,The One
1,Break Up Every Night
2,Bloodstream
3,Don't Say
4,Something Just Like This
5,My Type
6,It Won't Kill Ya
7,Paris
8,Honest
9,Wake Up Alone
10,Young
11,Last Day Alive
12,This Feeling
13,Side Effects
14,Save Yourself
15,Somebody
16,Everybody Hates Me
17,You Owe Me
18,Sick Boy
19,Na' Nuevo
20,Quiere Beber
21,Hipócrita
22,Modo de Avión
23,Bandolera
24,Pensando en Ti
25,Brindemos
26,Espina
27,Tú No Lo Amas
28,Naturaleza
29,Yeezy
30,Te Necesito
31,El OG
32,Everything Oro
33,Baby Light It Up
34,Dormir Solo
35,Estamos Clear
36,Extranjera
37,Cellphone
38,Lo Haya Todo o No Haya Nada
39,No Me Deje
40,Donde Tú Te Ves
41,Aunque Quisiera
42,James Jones
43,Amigo
44,About Me
45,Vivo
46,Seguir Soltero
47,Pra
48,Demasiada Sensual
49,No Lloro Por Nadie
50,Secret Family
51,Insasiable
52,Fama
53,Un Palo
54,Callaito Es Que Se Hace
55,Before Famous
56,"Yeah, I Know"
57,Aparentas
58,Dañarme la Mente
59,Lo Hice
60,Tu Regresas - Remix
61,Fake Love
62,Antes de Morirme
63,Los Mios Ganan
64,Empecé de Cero
65,One More Night
66,Payphone
67,Daylight
68,Lucky Strike
69,The Man Who Never Lied
70,Love Somebody
71,Ladykiller
72,Fortune Teller
73,Sad
74,Tickets
75,Doin’ Dirt
76,Beautiful Goodbye
77,Wipe Your Eyes
78,Wasted Years
79,Let’s Stay Together
80,One More Night
81,Payphone
82,Daylight
83,Lucky Strike
84,The Man Who Never Lied
85,Love Somebody
86,Ladykiller
87,Fortune Teller
88,Sad
89,Tickets
90,Doin’ Dirt
91,Beautiful Goodbye
92,One More Night - Commentary
93,Payphone - Commentary
94,Day Light - Commentary
95,Lucky Strike - Commentary
96,The Man Who Never Lied - Commentary
97,Love Somebody - Commentary
98,Lady Killer - Commentary
99,Fortune Teller - Commentary
100,Sad - Commentary
101,Tickets - Commentary
102,Doin' Dirt - Commentary
103,Beautiful Goodbye - Commentary
104,Wipe Your Eyes - Commentary
105,Wasted Years - Commentary
106,Let's Stay Together - Commentary
107,Monstar
108,Hey Daddy (Daddy's Home)
109,There Goes My Baby
110,Lil Freak
111,She Don't Know
112,OMG
113,Mars vs. Venus
114,Pro Lover
115,Foolin' Around
116,Papers
117,So Many Girls
118,Guilty
119,Okay
120,Making Love (Into the Night)
121,Love 'Em All
122,DJ Got Us Fallin' In Love
123,Hot Tottie
124,Lay You Down
125,Lingerie
126,Get In My Car
127,Somebody to Love - Remix
128,Stranger
129,If I Never See Your Face Again
130,Makes Me Wonder
131,Little Of Your Time
132,Wake Up Call
133,Won't Go Home Without You
134,Nothing Lasts Forever
135,Can't Stop
136,Goodnight Goodnight
137,Not Falling Apart
