,0
0,The One
1,Break Up Every Night
2,Bloodstream
3,Don't Say
4,Something Just Like This
5,My Type
6,It Won't Kill Ya
7,Paris
8,Honest
9,Wake Up Alone
10,Young
11,Last Day Alive
12,This Feeling
13,Side Effects
14,Save Yourself
15,Somebody
16,Everybody Hates Me
17,You Owe Me
18,Sick Boy
19,Na' Nuevo
20,Quiere Beber
21,Hipócrita
22,Modo de Avión
23,Bandolera
24,Pensando en Ti
25,Brindemos
26,Espina
27,Tú No Lo Amas
28,Naturaleza
29,Yeezy
30,Te Necesito
31,El OG
32,Everything Oro
33,Baby Light It Up
34,Dormir Solo
35,Estamos Clear
36,Extranjera
37,Cellphone
38,Lo Haya Todo o No Haya Nada
39,No Me Deje
40,Donde Tú Te Ves
41,Aunque Quisiera
42,James Jones
43,Amigo
44,About Me
45,Vivo
46,Seguir Soltero
47,Pra
48,Demasiada Sensual
49,No Lloro Por Nadie
50,Secret Family
51,Insasiable
52,Fama
53,Un Palo
54,Callaito Es Que Se Hace
55,Before Famous
56,"Yeah, I Know"
57,Aparentas
58,Dañarme la Mente
59,Lo Hice
60,Tu Regresas - Remix
61,Fake Love
62,Antes de Morirme
63,Los Mios Ganan
64,Empecé de Cero
65,One More Night
66,Payphone
67,Daylight
68,Lucky Strike
69,The Man Who Never Lied
70,Love Somebody
71,Ladykiller
72,Fortune Teller
73,Sad
74,Tickets
75,Doin’ Dirt
76,Beautiful Goodbye
77,Wipe Your Eyes
78,Wasted Years
79,Let’s Stay Together
80,One More Night - Commentary
81,Payphone - Commentary
82,Day Light - Commentary
83,Lucky Strike - Commentary
84,The Man Who Never Lied - Commentary
85,Love Somebody - Commentary
86,Lady Killer - Commentary
87,Fortune Teller - Commentary
88,Sad - Commentary
89,Tickets - Commentary
90,Doin' Dirt - Commentary
91,Beautiful Goodbye - Commentary
92,Wipe Your Eyes - Commentary
93,Wasted Years - Commentary
94,Let's Stay Together - Commentary
95,Monstar
96,Hey Daddy (Daddy's Home)
97,There Goes My Baby
98,Lil Freak
99,She Don't Know
100,OMG
101,Mars vs. Venus
102,Pro Lover
103,Foolin' Around
104,Papers
105,So Many Girls
106,Guilty
107,Okay
108,Making Love (Into the Night)
109,Love 'Em All
110,DJ Got Us Fallin' In Love
111,Hot Tottie
112,Lay You Down
113,Lingerie
114,Get In My Car
115,Somebody to Love - Remix
116,Stranger
117,If I Never See Your Face Again
118,Makes Me Wonder
119,Little Of Your Time
120,Wake Up Call
121,Won't Go Home Without You
122,Nothing Lasts Forever
123,Can't Stop
124,Goodnight Goodnight
125,Not Falling Apart
126,Kiwi
127,Better That We Break
128,Back At Your Door
129,Misery
130,Give A Little More
131,Stutter
132,Don't Know Nothing
133,Never Gonna Leave This Bed
134,I Can't Lie
135,Hands All Over
136,How
137,Get Back In My Life
